REEF-No,NAME,FORMATION,SYSTEM,SERIES,INTERVAL,LAT,LON,PALEO-LAT,PALEO-LON,REF,BIOTA MAIN,BIOTA SEC,COUNTRY,PBDB,REMARKS
3762,"Ekwi River, Mackenzie Mountains",Sekwi,Cambrian,Series 2,Botomian,63.75,-128.8,4.14683,-67.2492,2686,Microbes,,Canada,80957,read more
3763,"Koolywurtie bioherms, Teppers Knoll, Yorke Penins",Parara,Cambrian,Series 2,Botomian,-34.4333,137.9,13.778,-161.187,2687,Microbes,,Australia,81016,read more
3764,"Ten Miles Creek bioherms, Flinders Ranges",Wirrealpa,Cambrian,Series 3,Toyonian,-31.2667,138.9167,16.9488,-162.056,2688,Microbes,,Australia,81025,read more
3765,"Hulutao, Liaodong Peninsula, Liaoning",Jianchang,Cambrian,Series 2,Botomian,39.25,121.7,4.19939,148.006,2689,Microbes,,China,81037,read more
3766,"Zaitingna, Tianyang area",Banna,Triassic,Middle Triassic,Anisian,23.7667,106.8833,11.4709,97.705,2690,Corals,,China,81045,read more
3767,"Alichur Mountains, Shajtan bioherms, Pamir",Kattamardzanaj,Triassic,Middle Triassic,Ladinian,37.9833,72.8667,6.34685,54.2343,29,Corals,,Tajikistan,81064,read more
3768,"Knorring, Khanka Massif, Primorye",Dmitriyevskaya,Cambrian,Series 2,Lenian,44.5,132.6333,7.33136,40.5228,2691,,,Russia,81071,read more
3769,"Franklin bioherms, New Jersey",Leithsville,Cambrian,Series 2,Botomian,41.1167,-74.5667,-30.9062,-88.9005,2692,Microbes,,United States,81073,read more
3770,"Gataga River, Muskwa Ranges, British Columbia",,Cambrian,Series 2,Botomian,57.9625,-125.5208,4.86815,-73.2261,2693,Archaeocyaths,,Canada,81083,read more
3771,"Caunes-Minervois, Montagne Noire",Lastours,Cambrian,Series 2,Botomian,43.3167,2.5333,-50.3996,113.571,2694,Microbes,,France,81088,read more
3772,"White Owl Lake, Colorado",Dotsero,Cambrian,Furongian,Sunwaptan,39.7333,-107.3167,-5.05336,-89.9619,2695,Microbes,,United States,81101,read more
3773,"Diringde reef complex, Kotuy River",,Cambrian,Series 3,Maentwrogian,68.3833,103.1667,-17.1959,-5.24359,2696,Microbes,,Russia,81113,read more
3774,"Krutoy Log, Sukhie Solontsy bioherm, Khakasiya",Usa,Cambrian,Series 2,Atdabanian,54,90.75,-9.27457,5.53472,2697,Microbes,,Russia,81243,read more
3775,"Krutoy Log, Sukhie Solontsy bioherm, Khakasiya",Usa,Cambrian,Series 2,Botomian,54,90.75,-7.53668,7.19582,2698,Microbes,,Russia,81316,read more
3776,"Krutoy Log, Sukhie Solontsy bioherm, Khakasiya",Usa,Cambrian,Series 3,Toyonian,54,90.75,-7.53668,7.19582,2698,Microbes,,Russia,81319,read more
3777,"Malaya Tes River, Batenevskiy Ridge, Khakasiya",Usa,Cambrian,Series 2,Botomian,54.2333,90.8167,-7.71085,7.03433,2698,Microbes,,Russia,81326,read more
3778,"Srednyaya Mountain, Batenevskiy Ridge, Khakasiya",Usa,Cambrian,Series 2,Atdabanian,54.2333,90.8167,-9.45347,5.37786,2698,Microbes,,Russia,81328,read more
3779,"Kazyr River, Eastern Sayan, Krasnoyarskiy Kray",Balakhtison,Cambrian,Series 2,Atdabanian,53.7667,93.4833,-8.25907,4.24748,2698,Microbes,,Russia,81334,read more
3780,"Kaltat River, Torgashino Ridge, Krasnoyarskiy Kray",Torgashino,Cambrian,Series 2,Atdabanian,55.9667,92.9167,-10.3323,3.43188,2697,Microbes,,Russia,81252,read more
3781,"Western Torgashino Ridge, Krasnoyarskiy Kray",Torgashino,Cambrian,Series 2,Botomian,55.9667,92.9167,-8.53283,5.07253,2698,Microbes,,Russia,81433,read more
3782,"Western Torgashino Ridge, Krasnoyarskiy Kray",Torgashino,Cambrian,Series 3,Toyonian,55.9667,92.9167,-8.53283,5.07253,2698,Microbes,,Russia,81434,read more
3783,"Western Torgashino Ridge, Krasnoyarskiy Kray",Torgashino,Cambrian,Series 3,Amgan,55.9667,92.9167,-6.09473,9.24302,2698,Microbes,,Russia,81437,read more
3784,"Uyar River, Bellykskoye Mountains, Krasnoyarskiy Kr",Uyar,Cambrian,Series 3,Toyonian,54.6,91.35,-7.85044,6.57041,2698,Microbes,,Russia,81440,read more
3785,"Malyy Karakol River, Western Sayan, Khakasiya",Upper Monok,Cambrian,Series 2,Botomian,52.8333,90.2667,-6.71852,8.08289,2698,Microbes,,Russia,81443,read more
