REEF-No,NAME,FORMATION,SYSTEM,SERIES,INTERVAL,LAT,LON,PALEO-LAT,PALEO-LON,REF,BIOTA MAIN,BIOTA SEC,COUNTRY,PBDB,REMARKS
1,Tilkideligi Tepe,,Triassic,Upper Triassic,lower Norian,37.0333,30.3833,8.87947,21.7674,91,Calcisponges,,Turkey,38048,read more
2,Hydra,Pantokrator Limestone,Triassic,Upper Triassic,upper Carnian,37.3833,23.6333,7.32517,20.2917,33,Corals,,Greece,38018,read more
3,"Shiraho, W-Pacific",,Quarternary,Holocene,Holocene,24.3333,124.25,24.3795,124.163,10,Corals,,Pacific,,read more
4,Aksu-Terziler area,,Triassic,Upper Triassic,Tuvalian,37.8,31.0333,-0.309389,26.3043,91,Calcisponges,,Turkey,60649,read more
5,"Adnet, Salzburg",,Triassic,Upper Triassic,upper Rhaetian,47.7,13.1667,32.6069,16.4294,11,Corals,,Austria,22963,read more
6,Rötelwand,,Triassic,Upper Triassic,Rhaetian,47.7,13.1833,32.4826,15.5517,11,Corals,,Austria,36815,read more
7,Rio Blanco,,Triassic,Upper Triassic,Rhaetian,37.325,-3.4333,24.7231,0.828875,13,"Serpulids, worms, vermetids",,Spain,67734,read more
8,"Anxian, Sichuan",Hanwang,Triassic,Upper Triassic,upper Carnian,31.6167,104.4333,29.1875,90.9345,14,Siliceous sponges,,China,25405,read more
9,Grimming,,Triassic,Upper Triassic,upper Norian,47.5833,14.25,28.8474,16.8181,6,Calcisponges,,Austria,170644,read more
10,"Lime Peak, Yukon",Aksala,Triassic,Upper Triassic,Norian,61.0611,-134.8736,27.3014,-73.4842,16,Calcisponges,,Canada,38033,read more
11,"Sarmeika reef, Argolis",Pantokrator,Triassic,Upper Triassic,Norian,37.6333,23.0833,13.4597,17.9499,17,Calcisponges,,Greece,24310,read more
12,Feichtenstein,,Triassic,Upper Triassic,upper Rhaetian,47.7069,13.2972,32.5632,16.5202,18,Corals,,Austria,36801,read more
13,Gruber,,Triassic,Upper Triassic,upper Rhaetian,47.6861,13.3039,32.5434,16.5107,18,Corals,,Austria,36807,read more
14,"Wombat Plateau, offshore Australia, Indian Ocean",,Triassic,Upper Triassic,Rhaetian,-16.8333,115.8333,-23.2476,70.8606,20,Corals,,Indian Ocean,36912,read more
15,Mahlknecht,,Triassic,Middle Triassic,upper Ladinian,46.5,11.3667,7.90845,22.1236,21,Microbes,,Italy,67723,read more
16,Wilde Kirche+Tegernsee,,Triassic,Upper Triassic,upper Rhaetian,47.4333,11.7167,32.9408,15.2906,22,Corals,,Austria,67807,read more
17,"Aflenz, Hochschwab",,Triassic,Upper Triassic,upper Norian,47.6167,15.1333,28.5504,17.4079,23,Corals,,Austria,36450,read more
18,Celje,,Triassic,Middle Triassic,Ladinian,46.25,15.2667,6.1949,24.2289,24,Calcisponges,,Slovenia,36534,read more
19,Pokljuka,,Triassic,Upper Triassic,middle/upper Norian,46.4,14.0333,24.4212,16.6255,24,Corals,,Slovenia,36564,read more
20,Hudajuzna and Cerkno area,,Triassic,Upper Triassic,early Carnian,46.1833,13.7667,11.7787,21.1428,24,Calcisponges,,Slovenia,36558,read more
21,Hohe Wand,Dachstein,Triassic,Upper Triassic,Sevatian,47.8167,16.25,28.3132,18.2499,28,Calcisponges,,Austria,170674,read more
22,"Alichur, Pamir",,Triassic,Middle Triassic,late Ladinian,37.5833,73.3333,6.02228,54.6735,29,Corals,,Tajikistan,36694,read more
23,"Schaimak, Pamir",Shaimak,Triassic,Upper Triassic,lower Norian,37.5,74.5,30.0306,54.4982,30,Corals,,Tajikistan,34646,read more
24,"Schachtessai, Pamir",Bortepa,Triassic,Upper Triassic,Sevatian,37.3333,74.6667,33.296,57.2672,30,Calcisponges,,Tajikistan,34647,read more
25,Mala Fatra,,Triassic,Upper Triassic,Rhaetian,49.1667,18.8333,29.7007,22.0867,32,Corals,,Slovakia,42541,read more
26,"Panormide, Sicily",,Triassic,Upper Triassic,upper Norian,38.1333,13.3833,21.1865,10.6646,34,Calcisponges,,Italy,36454,read more
27,"Monti Cadini, Dolomites",Cassian,Triassic,Upper Triassic,lower Carnian,46.5833,12.25,11.7788,20.8909,35,Microbes,,Italy,170920,read more
28,Gosaukamm,Dachstein,Triassic,Upper Triassic,upper Norian,47.4833,13.6,29.0054,16.3366,36,Calcisponges,,Austria,38148,read more
29,"Spiti, Himalaya",Nimaloksa,Triassic,Upper Triassic,middle Norian,32.1,78.1667,-24.8587,48.0545,37,Corals,,India,36386,read more
30,"Hangrang, Kinnaur, Himalaya",Nimaloksa,Triassic,Upper Triassic,middle Norian,31.8,78.5333,-25.2862,47.9847,37,Corals,,India,36388,read more
31,Granada,,Triassic,Middle Triassic,Ladinian,37.1667,-3.5833,2.59829,9.99759,39,"Serpulids, worms, vermetids",,Spain,,read more
32,Gesäuse,Dachstein,Triassic,Upper Triassic,upper Norian,47.5833,14.4667,28.7674,16.9577,41,Calcisponges,,Austria,36516,read more
33,Jebel Wasa south,Jebel Wasa,Triassic,Upper Triassic,Norian,24.7,55.8667,-6.82581,42.3446,818,Calcisponges,,Oman,24304,read more
34,Lovere,Camorelli,Triassic,Middle Triassic,middle Anisian,45.8167,10.0667,6.62279,22.6089,43,Microbes,,Italy,67717,read more
35,Jebel Kawr,Misfah,Triassic,Upper Triassic,Norian,23.1722,57.0583,-8.63871,43.1808,818,Corals,,Oman,24306,read more
36,Olang,Recoaro - Upper Serla,Triassic,Middle Triassic,upper Anisian,46.75,11.9667,6.59908,24.1161,45,Calcisponges,,Italy,23570,read more
37,"Karwendel, Innsbruck",Wetterstein,Triassic,Middle Triassic,Ladinian,47.3,11.4,8.54778,22.6101,46,Calcisponges,,Austria,38140,read more
38,Hafelekar,,Triassic,Middle Triassic,Ladinian/Carnian,47.3028,11.4,13.1634,20.6356,46,Calcisponges,,Austria,45428,read more
39,Idrija,,Triassic,Upper Triassic,Cordevolian,46.1667,13.9167,13.5543,20.4318,48,Corals,,Slovenia,,read more
40,"Fischerwiese, Steinplatte",Zlambach Beds,Triassic,Upper Triassic,upper Rhaetian,47.6,12.5667,32.7523,15.9659,50,Corals,,Austria,38141,read more
41,Richthofen,Cassian Dolomite,Triassic,Upper Triassic,lower Carnian,46.5333,11.9667,11.8502,20.6987,52,Calcisponges,,Italy,,read more
42,Monte Caramolo,Calcari,Triassic,Middle Triassic,Ladinian/Carnian,39.8,16.1167,5.03422,19.2646,53,Calcisponges,,Italy,25260,read more
43,"Malajon, Palawan",Coron,Triassic,Upper Triassic,Rhaetian,12.15,119.8167,33.2683,116.607,54,Corals,,Philippines,24144,read more
44,Hochkönig,Dachstein,Triassic,Upper Triassic,upper Norian,47.45,13.0667,29.1772,15.9719,55,Corals,,Austria,25261,read more
45,"Kotel, Luda-Kamcia",Kotel,Triassic,Upper Triassic,Norian,42.9,26.5,14.5097,24.2988,1494,Corals,,Bulgaria,,read more
46,"Pilot Mountains I, Nevada",Luning,Triassic,Upper Triassic,lower Norian,38.4083,-118.0167,12.8399,-55.2316,57,Calcisponges,,United States,45520,read more
47,"Lake Shasta, California",Hosselkus Limestone,Triassic,Upper Triassic,upper Carnian,40.6,-122.05,15.5912,-58.3598,57,Corals,,United States,33354,read more
48,"Summit Peak, N-Wallowa Mountains, Oregon",Martin Bridge,Triassic,Upper Triassic,lower Norian,45.5,-117.5167,19.7899,-53.7103,1150,Microbes,,United States,38063,read more
49,"South Vancouver, British Columbia",Sutton Limestone,Triassic,Upper Triassic,Norian,48.8569,-124.2319,-6.2783,-66.0372,57,Corals,,Canada,45379,read more
50,"Gravina Island, Alaska",Nehenta,Triassic,Upper Triassic,lower Norian,55.3333,-131.75,21.9169,-69.6056,57,Corals,,United States,33424,read more
51,North Vancouver,,Triassic,Upper Triassic,Norian,50.5,-127.6333,-4.80998,-68.3689,57,Corals,,Canada,172167,read more
52,"Iliamna, Alaska",,Triassic,Upper Triassic,Norian,59.5,-155.5,5.47097,-80.9865,57,Calcisponges,,United States,33407,read more
53,Uffenheim,,Triassic,Middle Triassic,Ladinian,49.5489,10.2261,16.3277,17.6754,58,Non-rudist bivalves,,Germany,67651,read more
54,Marktbreit,,Triassic,Middle Triassic,Ladinian,49.6703,10.1433,16.413,17.5694,58,Non-rudist bivalves,,Germany,67650,read more
55,Enslingen,,Triassic,Middle Triassic,Ladinian,49.1167,9.75,15.8032,17.5826,58,Non-rudist bivalves,,Germany,67649,read more
56,La Riba,,Triassic,Middle Triassic,upper Ladinian,41.2833,1.1667,5.48093,14.7169,59,Corals,,Spain,73813,read more
57,"Zhenfeng (Chen-feng), Guizhou",Yangliujing,Triassic,Middle Triassic,Ladinian,25.25,105.75,17.0487,94.7012,60,Corals,,China,78652,read more
58,"Shizong+Ch-iu-pei, Yunnan",Lanmu,Triassic,Middle Triassic,Ladinian,24.5,104.2,15.7102,93.7997,60,Corals,,China,78654,read more
59,"Mianzhu, Sichuan",,Triassic,Upper Triassic,Carnian,31.3167,104.2167,27.0529,90.4128,61,Calcisponges,,China,,read more
60,"Yangmeibao, Huaxi, Guizhou",Qinyan,Triassic,Middle Triassic,Anisian,26.4667,106.7333,13.6812,96.11,61,Algae,,China,78655,read more
61,"Manang, Annapurna",Tarap,Triassic,Upper Triassic,middle Norian,28.7,83.9667,-30.8982,48.3935,62,Corals,,Nepal,67621,read more
62,"Mission Creek, Lewiston, Idaho",Martin Bridge,Triassic,Upper Triassic,early Sevatian,46.3667,-116.7333,21.3666,-54.6119,435,Corals,,United States,38377,read more
63,"New Pass, Nevada",Augusta,Triassic,Middle Triassic,Ladinian,39.6,-117.4833,6.47445,-44.7044,63,Corals,,United States,42552,read more
64,"Tudiya, Wenxingchang, Laolongdong, Beipei buildup group, Sichuan",Changxing,Permian,Lopingian,Changhsingian,29.9167,106.4333,7.98772,95.6738,221,Calcisponges,,China,36221,read more
65,Opole,,Triassic,Middle Triassic,late Anisian,50.5667,18.0833,18.6575,23.8532,66,Siliceous sponges,,Poland,34729,read more
66,Acotambo,Chambara,Triassic,Upper Triassic,Norian,-8.75,-76.75,-20.6048,-44.7596,67,Corals,,Peru,36994,read more
67,Lagazuoi,Cassian,Triassic,Middle Triassic,Ladinian/Carnian,46.5333,12.0333,12.2857,20.5388,68,Microbes,,Italy,,read more
68,Aghdarband,,Triassic,Lower Triassic,Spathian,35.9833,60.85,-0.846413,55.6974,70,Algae,,Iran,73814,read more
69,"Latemar, Dolomites",Schlern,Triassic,Middle Triassic,late Anisian,46.3833,11.5833,6.47341,23.6795,143,Microbes,,Italy,49932,read more
70,Epinal,,Triassic,Middle Triassic,Ladinian,48.1667,6.4333,14.0212,15.9369,73,Non-rudist bivalves,,France,73865,read more
71,Mottgers,,Triassic,Middle Triassic,Anisian,50.3,9.6833,16.0727,19.0709,74,Non-rudist bivalves,,Germany,34703,read more
72,Begunjscica,,Triassic,Upper Triassic,Rhaetian,46.4333,14.0333,31.1035,15.3227,75,Calcisponges,,Slovenia,36572,read more
73,W-Ceram,Asinepe Limestone,Triassic,Upper Triassic,Norian,-3.25,128.6667,-27.7444,100.984,77,Corals,,Indonesia,34892,read more
74,Central Ceram,Asinepe Limestone,Triassic,Upper Triassic,Sevatian-Rhaetian,-3.1667,129.6667,-26.781,98.5747,77,Calcisponges,,Indonesia,34893,read more
75,"Marawand, Delijan",Nayband,Triassic,Upper Triassic,Sevatian,33.5667,51.4833,33.1704,41.0511,9,Calcisponges,,Iran,37960,read more
76,"Lakaftari, Esfahan",Nayband,Triassic,Upper Triassic,middle Norian,32.95,52,30.381,39.8856,81,Corals,,Iran,37983,read more
77,Tabas area including Parvadeh section,Nayband,Triassic,Upper Triassic,upper Norian,33.25,57.1667,-12.232,44.7392,249,Corals,,Iran,36869,read more
78,Quebrada Granate,,Triassic,Upper Triassic,Norian/Rhaetian,-24.75,-69.1667,-34.7591,-33.0416,78,Corals,,Chile,34636,read more
79,Gurumugl,Kuta Limestone,Triassic,Upper Triassic,Rhaetian,-6.0167,144.8667,-34.606,103.271,79,Corals,,Papua New Guinea,67687,read more
80,"Hoher Göll, Bavaria",Dachstein,Triassic,Upper Triassic,upper Norian,47.6333,13.1667,29.2922,16.1528,2451,Calcisponges,,Germany,58093,read more
81,Karaburun,Laleköy,Triassic,Middle Triassic,Ladinian/Carnian,38.3333,26.5,19.5366,31.2744,82,Calcisponges,,Turkey,73852,read more
82,Chios,,Triassic,Middle Triassic,Ladinian/Carnian,38.3833,26.1167,19.8144,30.8314,82,Calcisponges,,Greece,,read more
83,Waliabad,Nayband,Triassic,Upper Triassic,Rhaetian,31.0333,52.8667,33.7468,46.665,80,Calcisponges,,Iran,37044,read more
84,"Monte Genuardo, Sicily",,Triassic,Upper Triassic,Norian/Rhaetian,37.6806,13.1806,19.2217,10.6126,83,Calcisponges,,Italy,38061,read more
85,Béchar,,Carboniferous,Mississippian,upper Visean,31.5667,-2.2667,-22.7572,0.794545,84,Siliceous sponges,,Algeria,,read more
86,"El Capitan, Texas and McKittric, New Mexico",Yates,Permian,Guadalupian,Capitanian,31.8728,-104.8583,4.06877,-33.4747,193,Microbes,,United States,24203,read more
87,Shalypayco,Chambara,Triassic,Upper Triassic,Norian,-10.85,-75.9833,-22.6027,-43.6897,86,Corals,,Peru,36950,read more
88,Huanincocha,Chambara,Triassic,Upper Triassic,Norian,-10.8667,-75.9167,-22.6115,-43.6172,87,Calcisponges,,Peru,36993,read more
89,Pössneck,Werrakarbonat,Permian,Lopingian,Zechstein 1,50.6667,11.55,16.0326,23.1346,89,Microbes,,Germany,51381,read more
90,Trogkofel,Trogkofel,Permian,Cisuralian,Sakmarian-Artinskian,46.5778,13.1972,-7.26554,24.8446,90,Tubiphytes,,Austria,61258,read more
91,"Kusunluk Hill, Bucakdere, Isparta",,Triassic,Upper Triassic,Carnian,37.5333,31.15,-0.133277,26.0223,2602,Calcisponges,,Turkey,73853,read more
92,Dereköy,,Triassic,Upper Triassic,lower Norian,36.75,30.3333,9.74247,21.1829,2377,Calcisponges,,Turkey,38047,read more
93,Triglav,,Triassic,Upper Triassic,upper Norian,46.4,13.8833,27.9936,15.8441,91,Corals,,Slovenia,36566,read more
94,"Negaia Hill, Cimp Moti, Vascau",,Triassic,Upper Triassic,Norian,46.4667,22.5,19.0381,23.7351,91,Corals,,Romania,60388,read more
95,"Aldan River, Siberia",,Cambrian,Terreneuvian,Tommotian,58.5,129.5,-10.7096,-16.2827,93,Archaeocyaths,,Russia,80866,read more
96,Riepl,,Triassic,Middle Triassic,upper Anisian,46.4833,14.6,5.29473,25.4041,94,Tubiphytes,,Austria,67646,read more
97,Sonora,Antimonio,Triassic,Upper Triassic,Norian,30.7333,-112.55,6.65565,-51.477,95,Corals,,Mexico,34983,read more
98,"Pualaca, NE-Timor",,Triassic,Upper Triassic,upper Norian,-8.8167,125.95,13.1372,127.809,97,Corals,,Timor,21166,read more
99,SW-Timor,,Triassic,Upper Triassic,Norian,-9.8,123.9833,8.18962,121.962,97,Corals,,Indonesia,,read more
100,Alsóhegy Plateau,Wetterstein Limestone,Triassic,Middle Triassic,Ladinian/Carnian,46.8667,17.3,8.07787,25.817,99,Corals,,Hungary,38050,read more
101,"Gela, Sicily",,Triassic,Upper Triassic,Norian,37.0833,14.25,16.5027,11.3769,100,Microbes,,Italy,172798,read more
102,Rhätikon,,Triassic,Upper Triassic,upper Rhaetian,47.0667,9.7167,33.5955,14.7852,101,Corals,,Switzerland,172799,read more
103,"Mratinje, Bosnia",,Triassic,Middle Triassic,Ladinian/Carnian,43.25,18.7,6.96076,22.7373,102,Calcisponges,,Bosnia and Herzegovina,,read more
104,"Mine Verhny, Sichote Alin",,Triassic,Upper Triassic,Norian-Rhaetian,44.5167,135.5167,49.5947,137.983,103,Calcisponges,,Russia,42751,read more
105,Bleiberg,,Triassic,Middle Triassic,upper Anisian,46.6167,13.7,5.77045,24.9843,104,Tubiphytes,,Austria,,read more
106,Lattari Mountains,,Triassic,Upper Triassic,Rhaetian,40.6167,14.4667,25.9701,12.1869,105,Microbes,,Italy,172809,read more
107,"Telkwa Range, British Columbia",Nilkitkwa,Jurassic,Lower Jurassic,upper Sinemurian,54.3833,-127.1333,26.7477,-69.4371,107,Corals,,United States,21251,read more
108,"Demascota well, Nova Scotia",Abenaki,Jurassic,Upper Jurassic,Oxfordian,43.6908,-60.8317,33.6923,-10.0132,109,Microbes,,Canada,67976,read more
109,"Demascota well, Nova Scotia",Abenaki,Jurassic,Upper Jurassic,Tithonian,43.6908,-60.8317,35.2009,-12.7245,109,Corals,,Canada,67978,read more
110,"Cohasset well, Nova Scotia",,Jurassic,Upper Jurassic,Tithonian,43.9436,-60.4997,35.4335,-12.4068,109,Corals,,Canada,,read more
111,"Suplee-Izee, Oregon",Robertson,Jurassic,Lower Jurassic,Pliensbachian,44.05,-119.6833,29.3093,-56.0165,110,Non-rudist bivalves,,United States,21259,read more
112,"Bullmoose Mt., British Columbia",,Cretaceous,Lower Cretaceous,Albian,55.2167,-121.5167,57.3787,-71.3855,111,Non-rudist bivalves,,Canada,45360,read more
113,"Acadia, Nova Scotia",,Jurassic,Upper Jurassic,Oxfordian/Kimmeridgian,42.8622,-61.9167,33.3703,-11.86,112,Microbes,,Canada,,read more
114,"Demascota well, Nova Scotia",Abenaki,Cretaceous,Lower Cretaceous,Valanginian,43.6908,-60.8317,35.1464,-13.6096,113,Siliceous sponges,,Canada,45348,read more
115,Prince Patrick Island I,Christopher,Cretaceous,Lower Cretaceous,Albian,75.1333,-120.0528,74.4055,-31.6262,114,"Serpulids, worms, vermetids",,Canada,,read more
116,Prince Patrick Island II,Christopher,Cretaceous,Lower Cretaceous,Albian,76.2061,-120.125,74.5297,-29.1557,114,"Serpulids, worms, vermetids",,Canada,,read more
117,Ellef Ringnes Island,Christopher,Cretaceous,Lower Cretaceous,Albian,78.1667,-100.2167,71.2321,-16.5183,114,"Serpulids, worms, vermetids",,Canada,,read more
118,"Holm Land, Greenland",,Carboniferous,Pennsylvanian,Moscovian,80.1667,-17.5,22.5323,9.23335,115,Stromatoporoids,,Denmark,172810,read more
119,"Topuk + Tavuk Cesme, Isparta",,Triassic,Upper Triassic,Lacian,37.6667,31.2667,6.69149,23.0702,1377,Calcisponges,,Turkey,73860,read more
120,Rahatalana Yayla,,Triassic,Upper Triassic,upper Norian,37.6833,31.2833,10.0798,22.3535,1377,Corals,,Turkey,,read more
121,"Swimming Woman, Big Snowy Mts., Montana",Lodgepole,Carboniferous,Mississippian,Kinderhookian,46.7667,-109.35,-7.30442,-43.2951,116,Microbes,,United States,,read more
122,"Bridger Range, Montana",Lodgepole,Carboniferous,Mississippian,Kinderhookian,45.8167,-110.9333,-7.15992,-44.7483,116,Microbes,,United States,,read more
123,"Cedar Creek, Williston Basin, Montana",Lodgepole,Carboniferous,Mississippian,Kinderhookian,46.2,-104.3667,-10.0975,-41.1996,116,Microbes,,United States,,read more
124,"Wilsons Brook, New Brunswick",,Carboniferous,Mississippian,Visean,45.8506,-64.7139,-14.5831,-14.0399,117,Microbes,,Canada,,read more
125,"Havelock, New Brunswick",,Carboniferous,Mississippian,Visean,45.9972,-65.3083,-14.3616,-14.431,117,Microbes,,Canada,,read more
126,"Devondal, Greenland",unknown,Permian,Guadalupian,Guadalupian,71.5833,-22.8333,27.6191,17.5262,118,Bryozoans,,Denmark,,read more
127,"Aguathuna, Newfoundland",,Carboniferous,Mississippian,Visean,48.65,-58.7333,-12.3628,-9.51444,119,Bryozoans,,Canada,76873,read more
128,"Blue Mountains, Ellesmere Island, Nunavut",Hare Fjord,Carboniferous,Pennsylvanian,early Moscovian,80.75,-85.5,26.2935,-0.456896,120,Bryozoans,,Canada,62695,read more
129,"Arthaber Creek, Axel Heiberg Island, Nunavut",Nansen,Carboniferous,Pennsylvanian,Moscovian,80.55,-95.4667,27.8614,-1.29896,120,Bryozoans,,Canada,,read more
130,"Hare Fjord, Ellesmere",Otto Fjord,Carboniferous,Pennsylvanian,Bashkirian,81.25,-81,24.2028,-1.63676,121,Algae,,Canada,,read more
131,"Westerstein, Harz",,Permian,Lopingian,Zechstein 2,51.6333,11.0833,16.8526,22.5198,122,Microbes,,Germany,75575,read more
132,"Römerstein, Harz",,Permian,Lopingian,Zechstein 1,51.6167,11.25,16.8703,22.6278,122,Microbes,,Germany,51382,read more
133,Schale,,Permian,Lopingian,Zechstein 1,52.3333,7.9667,16.9301,20.3863,123,Microbes,,Germany,75574,read more
134,Abenra,,Permian,Lopingian,Zechstein 1,55.05,9.4333,19.7821,20.3968,124,Microbes,,Denmark,,read more
135,"E-Durham, England",Ford,Permian,Lopingian,Zechstein 2,54.7833,-1.35,17.9505,14.1394,125,Microbes,,United Kingdom,24084,read more
136,Liebenstein,,Permian,Lopingian,Zechstein 1,50.7667,10.8333,15.9814,22.6541,128,Microbes,,Germany,,read more
137,"Karakorum, Kashmir",,Triassic,Upper Triassic,lower Norian,35.55,77.85,48.0725,72.5504,130,Corals,,Pakistan,,read more
138,Northern Caucasus,Bolshoj Tkah'c,Triassic,Upper Triassic,Norian,44.0833,40.5,38.5997,35.8352,131,Algae,,Russia,36722,read more
139,"Ussuri, Sichote Alin",,Triassic,Upper Triassic,Norian,44.5,133.6667,49.2991,132.864,131,Calcisponges,,Russia,36693,read more
140,"Partizansk, Primorsky",,Permian,Cisuralian,Kazanian,43.05,133.0833,28.4172,113.029,131,Algae,,Russia,,read more
141,"Nakhodka, Primorsky",Lyudyanza,Permian,Lopingian,Wuchiapingian,42.8667,132.6333,30.4509,111.81,131,Calcisponges,,Russia,63899,read more
142,"Karavan, Kirgiziya",,Carboniferous,Pennsylvanian,Kasimovian,40.3167,72.1833,26.7752,62.9819,131,Algae,,Kyrgyzstan,,read more
143,"Bakhchisaray, Krym",unknown,Permian,Guadalupian,Guadalupian,44.7333,33.8833,14.1094,41.7377,131,Calcisponges,,Ukraine,,read more
144,"Areni, Armeniya",,Permian,Cisuralian,Kazanian,39.7167,45.2,-10.454,42.464,131,Calcisponges,,Armenia,,read more
145,Coron Island,,Triassic,Upper Triassic,Norian,11.9333,120.2167,25.6998,107.873,54,Corals,,Philippines,,read more
146,Szentantalfa,Tagyon,Triassic,Middle Triassic,late Anisian,46.9,17.7833,1.60329,29.4615,132,Calcisponges,,Hungary,67640,read more
147,E-Sulawesi,,Triassic,Upper Triassic,Rhaetian,-1.9833,121.3333,21.4298,125.493,133,Corals,,Indonesia,67677,read more
148,"Lhasa, Tibet",,Triassic,Upper Triassic,Carnian/Norian,29.9667,91.55,18.6346,68.4156,134,Corals,,China,,read more
149,Menina,,Triassic,Upper Triassic,lower Carnian,46.2667,14.7833,11.4559,21.7863,135,Corals,,Slovenia,67628,read more
150,Yesilova,,Triassic,Upper Triassic,upper Norian,37.55,29.7333,14.0052,20.7666,137,Calcisponges,,Turkey,67685,read more
151,"Rowley Terrace, N",,Triassic,Upper Triassic,Norian/Rhaetian,-16.3333,118.3333,-27.9348,75.2606,138,Corals,,Australia,38069,read more
152,Gartnerkofel,,Triassic,Middle Triassic,Ladinian,46.5778,13.2986,7.21582,23.2703,139,Tubiphytes,,Austria,81063,read more
153,"Mina, Pilot Mountains, Nevada",Luning,Triassic,Upper Triassic,lower Norian,38.4111,-118.0667,12.8487,-55.2709,140,Corals,,United States,33439,read more
154,"S-Wallowa Mountains, Oregon",,Triassic,Upper Triassic,lower Norian,44.9333,-117.3333,19.21,-53.6675,1150,Corals,,United States,33384,read more
155,W-Cyprus,,Triassic,Upper Triassic,Carnian/Norian,34.75,33.25,5.78868,21.8419,141,Corals,,Cyprus,73866,read more
156,"Wendelstein, Bavaria",,Triassic,Middle Triassic,Ladinian,47.7,12.0167,8.63457,23.1876,142,Corals,,Germany,67652,read more
157,"Dajiang I, Great Bank of Guizhou",,Triassic,Lower Triassic,Griesbachian,25.55,106.8667,5.80665,98.3741,144,Microbes,,China,85070,read more
158,"Bianyang I, Great Bank of Guizhou",,Triassic,Middle Triassic,middle Anisian,25.6667,106.6667,12.9734,96.4981,144,Tubiphytes,,China,,read more
159,Bianyang II,,Triassic,Middle Triassic,Ladinian/Carnian,25.6833,106.8333,20.5829,94.7249,144,Corals,,China,,read more
160,Jinshajiang,,Triassic,Upper Triassic,Carnian/Norian,29,92,17.7375,68.9758,145,Corals,,China,,read more
161,Buru,,Triassic,Upper Triassic,Norian,-3.5,126.5,-26.2915,99.1639,146,,,Indonesia,,read more
162,Seelandalpe,Cassian,Triassic,Upper Triassic,lower Carnian,46.6833,12.15,11.9001,20.8923,147,Stromatoporoids,,Italy,34691,read more
163,"Kosmatiza, Karawanken",Contrin,Triassic,Middle Triassic,upper Anisian,46.45,14.2,5.4313,25.1614,148,Microbes,,Austria,,read more
164,Lugano,,Triassic,Middle Triassic,Anisian/Ladinian,45.9764,8.9444,7.24587,22.1079,150,Calcisponges,,Switzerland,,read more
165,Lienz,,Triassic,Middle Triassic,Anisian,46.75,12.5833,6.34006,24.452,151,Calcisponges,,Austria,,read more
166,"Kuma River, Kyushu",Konose Group,Triassic,Upper Triassic,Norian,32.35,130.6,43.5213,125.069,152,Algae,,Japan,34883,read more
167,Nara,,Triassic,Upper Triassic,Carnian,34.3333,136,42.4052,121.006,153,Corals,,Japan,38133,read more
168,"Háj, Zádial Plateau",,Triassic,Middle Triassic,Ladinian,48.6306,20.8833,3.55542,30.8426,154,Calcisponges,,Slovakia,,read more
169,Zádial Plateau,,Triassic,Upper Triassic,Norian,48.6333,20.65,21.5329,23.9148,154,Corals,,Slovakia,,read more
170,Silica Plateau,Wetterstein Limestone,Triassic,Middle Triassic,Ladinian/Carnian,48.5667,20.5833,8.22866,28.6283,154,Calcisponges,,Slovakia,34882,read more
171,"Veterlin, Malé Karpaty",Wetterstein Limestone,Triassic,Middle Triassic,Ladinian,48.5333,17.3667,4.76256,28.8465,165,Calcisponges,,Slovakia,36639,read more
172,Liptovska Osada,,Triassic,Upper Triassic,Norian,48.9417,19.2667,22.3077,23.2999,154,Corals,,Slovakia,,read more
173,"Pljevlja, Montenegro",,Triassic,Middle Triassic,Ladinian,43.35,19.35,2.21191,25.197,155,Calcisponges,,Yugoslavia,,read more
174,Bükk Mountains,Wetterstein Limestone,Triassic,Middle Triassic,upper Ladinian,47.9708,20.5,3.13596,30.2721,157,Corals,,Hungary,42258,read more
175,"Moliterno, S-Apennin",Mt. Facito,Triassic,Middle Triassic,Ladinian,40.2333,15.8667,0.882946,21.3633,159,Microbes,,Italy,,read more
176,"Cerchiara, Brienza, S-Apennin",Mt. Facito,Triassic,Middle Triassic,Ladinian,40.4833,15.65,1.18249,21.357,1478,Microbes,,Italy,20659,read more
177,Irpina,,Triassic,Upper Triassic,Carnian,41.0333,15.0833,9.27303,18.0525,160,Calcisponges,,Italy,67620,read more
178,"Sambosan, Shikoku",,Triassic,Upper Triassic,Norian,33.55,133.5333,44.0911,128.78,161,Calcisponges,,Japan,,read more
179,"N-Calabria, microbe-serpulid reefs",,Triassic,Upper Triassic,Norian,39.9167,15.8667,18.245,14.0673,162,Microbes,,Italy,38046,read more
180,"Zangla, Ladakh",,Triassic,Upper Triassic,Norian,33.6667,77.0167,23.9264,56.0425,163,Corals,,India,,read more
181,"Peace River, Alberta",Pekisko,Carboniferous,Mississippian,middle Tournasian,56.25,-117.3,4.56922,-38.8486,168,Microbes,,Canada,,read more
182,N-Yukon,,Permian,Cisuralian,Sakmarian/Artinskian,68.2583,-136.4625,44.3532,-22.1804,169,Algae,,Canada,45346,read more
183,"Arco Hills, Idaho",Snaky Canyon,Carboniferous,Pennsylvanian,Virgilian,43.65,-113.2667,11.3157,-37.9682,170,Algae,,United States,45345,read more
184,"Brookfield, Nova Scotia",Windsor Group,Carboniferous,Mississippian,upper Visean,45.25,-63.3333,-14.336,-12.1312,171,Bryozoans,,Canada,,read more
